Category,Message Code,Severity,Message Text,Message Description,Local Target Format,Remote Target Format
AD Connector,25006,WARN,AD Connector had to be restarted.,AD Connector had to be automatically restarted as it stopped unexpectedly.,"<timestamp> <seq_num> 25006 WARN AD-Connector: AD Connector had to be restarted., <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25006
                                 WARN AD-Connector: AD Connector had to be restarted., <log details>"
AD Connector,25006,WARN,AD Connector had to be restarted.,AD Connector had to be automatically restarted as it stopped unexpectedly.,"<timestamp> <seq_num> 25006 WARN AD-Connector: AD Connector had to be restarted., <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25006
                                 WARN AD-Connector: AD Connector had to be restarted., <log details>"
AD Connector,25007,INFO,Join point connector started,Join point connector started,"<timestamp> <seq_num> 25007 INFO AD-Connector: Join point connector started, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25007
                                 INFO AD-Connector: Join point connector started, <log details>"
AD Connector,25007,INFO,Join point connector started,Join point connector started,"<timestamp> <seq_num> 25007 INFO AD-Connector: Join point connector started, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25007
                                 INFO AD-Connector: Join point connector started, <log details>"
AD Connector,25008,INFO,Join point connector stopped,Join point connector stopped,"<timestamp> <seq_num> 25008 INFO AD-Connector: Join point connector stopped, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25008
                                 INFO AD-Connector: Join point connector stopped, <log details>"
AD Connector,25008,INFO,Join point connector stopped,Join point connector stopped,"<timestamp> <seq_num> 25008 INFO AD-Connector: Join point connector stopped, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25008
                                 INFO AD-Connector: Join point connector stopped, <log details>"
AD Connector,25009,INFO,Trusted domains discovery succeeded,Trusted domains discovery succeeded,"<timestamp> <seq_num> 25009 INFO AD-Connector: Trusted domains discovery succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25009
                                 INFO AD-Connector: Trusted domains discovery succeeded, <log details>"
AD Connector,25009,INFO,Trusted domains discovery succeeded,Trusted domains discovery succeeded,"<timestamp> <seq_num> 25009 INFO AD-Connector: Trusted domains discovery succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25009
                                 INFO AD-Connector: Trusted domains discovery succeeded, <log details>"
AD Connector,25010,ERROR,Trusted domains discovery failed,Trusted domains discovery failed,"<timestamp> <seq_num> 25010 ERROR AD-Connector: Trusted domains discovery failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25010
                                 ERROR AD-Connector: Trusted domains discovery failed, <log details>"
AD Connector,25010,ERROR,Trusted domains discovery failed,Trusted domains discovery failed,"<timestamp> <seq_num> 25010 ERROR AD-Connector: Trusted domains discovery failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25010
                                 ERROR AD-Connector: Trusted domains discovery failed, <log details>"
AD Connector,25011,INFO,Domain join succeeded,Domain join succeeded,"<timestamp> <seq_num> 25011 INFO AD-Connector: Domain join succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25011
                                 INFO AD-Connector: Domain join succeeded, <log details>"
AD Connector,25011,INFO,Domain join succeeded,Domain join succeeded,"<timestamp> <seq_num> 25011 INFO AD-Connector: Domain join succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25011
                                 INFO AD-Connector: Domain join succeeded, <log details>"
AD Connector,25012,WARN,Domain join failed,Domain join failed,"<timestamp> <seq_num> 25012 WARN AD-Connector: Domain join failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25012
                                 WARN AD-Connector: Domain join failed, <log details>"
AD Connector,25012,WARN,Domain join failed,Domain join failed,"<timestamp> <seq_num> 25012 WARN AD-Connector: Domain join failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25012
                                 WARN AD-Connector: Domain join failed, <log details>"
AD Connector,25013,INFO,Domain leave succeeded,Domain leave succeeded,"<timestamp> <seq_num> 25013 INFO AD-Connector: Domain leave succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25013
                                 INFO AD-Connector: Domain leave succeeded, <log details>"
AD Connector,25013,INFO,Domain leave succeeded,Domain leave succeeded,"<timestamp> <seq_num> 25013 INFO AD-Connector: Domain leave succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25013
                                 INFO AD-Connector: Domain leave succeeded, <log details>"
AD Connector,25014,WARN,Domain leave failed,Domain leave failed,"<timestamp> <seq_num> 25014 WARN AD-Connector: Domain leave failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25014
                                 WARN AD-Connector: Domain leave failed, <log details>"
AD Connector,25014,WARN,Domain leave failed,Domain leave failed,"<timestamp> <seq_num> 25014 WARN AD-Connector: Domain leave failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25014
                                 WARN AD-Connector: Domain leave failed, <log details>"
AD Connector,25015,INFO,DNS SRV query succeeded,DNS SRV query succeeded,"<timestamp> <seq_num> 25015 INFO AD-Connector: DNS SRV query succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25015
                                 INFO AD-Connector: DNS SRV query succeeded, <log details>"
AD Connector,25015,INFO,DNS SRV query succeeded,DNS SRV query succeeded,"<timestamp> <seq_num> 25015 INFO AD-Connector: DNS SRV query succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25015
                                 INFO AD-Connector: DNS SRV query succeeded, <log details>"
AD Connector,25016,ERROR,DNS SRV query failed,DNS SRV query failed,"<timestamp> <seq_num> 25016 ERROR AD-Connector: DNS SRV query failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25016
                                 ERROR AD-Connector: DNS SRV query failed, <log details>"
AD Connector,25016,ERROR,DNS SRV query failed,DNS SRV query failed,"<timestamp> <seq_num> 25016 ERROR AD-Connector: DNS SRV query failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25016
                                 ERROR AD-Connector: DNS SRV query failed, <log details>"
AD Connector,25017,INFO,DC discovery succeeded,DC discovery succeeded,"<timestamp> <seq_num> 25017 INFO AD-Connector: DC discovery succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25017
                                 INFO AD-Connector: DC discovery succeeded, <log details>"
AD Connector,25017,INFO,DC discovery succeeded,DC discovery succeeded,"<timestamp> <seq_num> 25017 INFO AD-Connector: DC discovery succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25017
                                 INFO AD-Connector: DC discovery succeeded, <log details>"
AD Connector,25018,ERROR,DC discovery failed,DC discovery failed,"<timestamp> <seq_num> 25018 ERROR AD-Connector: DC discovery failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25018
                                 ERROR AD-Connector: DC discovery failed, <log details>"
AD Connector,25018,ERROR,DC discovery failed,DC discovery failed,"<timestamp> <seq_num> 25018 ERROR AD-Connector: DC discovery failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25018
                                 ERROR AD-Connector: DC discovery failed, <log details>"
AD Connector,25019,INFO,KDC discovery succeeded,KDC discovery succeeded,"<timestamp> <seq_num> 25019 INFO AD-Connector: KDC discovery succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25019
                                 INFO AD-Connector: KDC discovery succeeded, <log details>"
AD Connector,25019,INFO,KDC discovery succeeded,KDC discovery succeeded,"<timestamp> <seq_num> 25019 INFO AD-Connector: KDC discovery succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25019
                                 INFO AD-Connector: KDC discovery succeeded, <log details>"
AD Connector,25020,ERROR,KDC discovery failed,KDC discovery failed,"<timestamp> <seq_num> 25020 ERROR AD-Connector: KDC discovery failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25020
                                 ERROR AD-Connector: KDC discovery failed, <log details>"
AD Connector,25020,ERROR,KDC discovery failed,KDC discovery failed,"<timestamp> <seq_num> 25020 ERROR AD-Connector: KDC discovery failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25020
                                 ERROR AD-Connector: KDC discovery failed, <log details>"
AD Connector,25021,INFO,GC discovery succeeded,GC discovery succeeded,"<timestamp> <seq_num> 25021 INFO AD-Connector: GC discovery succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25021
                                 INFO AD-Connector: GC discovery succeeded, <log details>"
AD Connector,25021,INFO,GC discovery succeeded,GC discovery succeeded,"<timestamp> <seq_num> 25021 INFO AD-Connector: GC discovery succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25021
                                 INFO AD-Connector: GC discovery succeeded, <log details>"
AD Connector,25022,ERROR,GC discovery failed,GC discovery failed,"<timestamp> <seq_num> 25022 ERROR AD-Connector: GC discovery failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25022
                                 ERROR AD-Connector: GC discovery failed, <log details>"
AD Connector,25022,ERROR,GC discovery failed,GC discovery failed,"<timestamp> <seq_num> 25022 ERROR AD-Connector: GC discovery failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25022
                                 ERROR AD-Connector: GC discovery failed, <log details>"
AD Connector,25023,INFO,LDAP connect to domain controller succeeded,LDAP connect to domain controller succeeded,"<timestamp> <seq_num> 25023 INFO AD-Connector: LDAP connect to domain controller succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25023
                                 INFO AD-Connector: LDAP connect to domain controller succeeded, <log details>"
AD Connector,25023,INFO,LDAP connect to domain controller succeeded,LDAP connect to domain controller succeeded,"<timestamp> <seq_num> 25023 INFO AD-Connector: LDAP connect to domain controller succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25023
                                 INFO AD-Connector: LDAP connect to domain controller succeeded, <log details>"
AD Connector,25024,ERROR,LDAP connect to domain controller failed,LDAP connect to domain controller failed,"<timestamp> <seq_num> 25024 ERROR AD-Connector: LDAP connect to domain controller failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25024
                                 ERROR AD-Connector: LDAP connect to domain controller failed, <log details>"
AD Connector,25024,ERROR,LDAP connect to domain controller failed,LDAP connect to domain controller failed,"<timestamp> <seq_num> 25024 ERROR AD-Connector: LDAP connect to domain controller failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25024
                                 ERROR AD-Connector: LDAP connect to domain controller failed, <log details>"
AD Connector,25025,INFO,LDAP connect to global catalog succeeded,LDAP connect to domain controller succeeded,"<timestamp> <seq_num> 25025 INFO AD-Connector: LDAP connect to global catalog succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25025
                                 INFO AD-Connector: LDAP connect to global catalog succeeded, <log details>"
AD Connector,25025,INFO,LDAP connect to global catalog succeeded,LDAP connect to domain controller succeeded,"<timestamp> <seq_num> 25025 INFO AD-Connector: LDAP connect to global catalog succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25025
                                 INFO AD-Connector: LDAP connect to global catalog succeeded, <log details>"
AD Connector,25026,ERROR,LDAP connect to global catalog failed,LDAP connect to domain controller failed,"<timestamp> <seq_num> 25026 ERROR AD-Connector: LDAP connect to global catalog failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25026
                                 ERROR AD-Connector: LDAP connect to global catalog failed, <log details>"
AD Connector,25026,ERROR,LDAP connect to global catalog failed,LDAP connect to domain controller failed,"<timestamp> <seq_num> 25026 ERROR AD-Connector: LDAP connect to global catalog failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25026
                                 ERROR AD-Connector: LDAP connect to global catalog failed, <log details>"
AD Connector,25027,INFO,RPC connect to domain controller succeeded,RPC connect to domain controller succeeded,"<timestamp> <seq_num> 25027 INFO AD-Connector: RPC connect to domain controller succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25027
                                 INFO AD-Connector: RPC connect to domain controller succeeded, <log details>"
AD Connector,25027,INFO,RPC connect to domain controller succeeded,RPC connect to domain controller succeeded,"<timestamp> <seq_num> 25027 INFO AD-Connector: RPC connect to domain controller succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25027
                                 INFO AD-Connector: RPC connect to domain controller succeeded, <log details>"
AD Connector,25028,ERROR,RPC connect to domain controller failed,RPC connect to domain controller failed,"<timestamp> <seq_num> 25028 ERROR AD-Connector: RPC connect to domain controller failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25028
                                 ERROR AD-Connector: RPC connect to domain controller failed, <log details>"
AD Connector,25028,ERROR,RPC connect to domain controller failed,RPC connect to domain controller failed,"<timestamp> <seq_num> 25028 ERROR AD-Connector: RPC connect to domain controller failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25028
                                 ERROR AD-Connector: RPC connect to domain controller failed, <log details>"
AD Connector,25029,INFO,KDC connect to domain controller succeeded,KDC connect to domain controller succeeded,"<timestamp> <seq_num> 25029 INFO AD-Connector: KDC connect to domain controller succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25029
                                 INFO AD-Connector: KDC connect to domain controller succeeded, <log details>"
AD Connector,25029,INFO,KDC connect to domain controller succeeded,KDC connect to domain controller succeeded,"<timestamp> <seq_num> 25029 INFO AD-Connector: KDC connect to domain controller succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25029
                                 INFO AD-Connector: KDC connect to domain controller succeeded, <log details>"
AD Connector,25030,ERROR,KDC connect to domain controller failed,KDC connect to domain controller failed,"<timestamp> <seq_num> 25030 ERROR AD-Connector: KDC connect to domain controller failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25030
                                 ERROR AD-Connector: KDC connect to domain controller failed, <log details>"
AD Connector,25030,ERROR,KDC connect to domain controller failed,KDC connect to domain controller failed,"<timestamp> <seq_num> 25030 ERROR AD-Connector: KDC connect to domain controller failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25030
                                 ERROR AD-Connector: KDC connect to domain controller failed, <log details>"
AD Connector,25031,ERROR,AD Provider failed to start,AD Provider failed to start,"<timestamp> <seq_num> 25031 ERROR AD-Connector: AD Provider failed to start, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25031
                                 ERROR AD-Connector: AD Provider failed to start, <log details>"
AD Connector,25031,ERROR,AD Provider failed to start,AD Provider failed to start,"<timestamp> <seq_num> 25031 ERROR AD-Connector: AD Provider failed to start, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25031
                                 ERROR AD-Connector: AD Provider failed to start, <log details>"
AD Connector,25032,INFO,Trusted domain discovered,Trusted domain discovered,"<timestamp> <seq_num> 25032 INFO AD-Connector: Trusted domain discovered, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25032
                                 INFO AD-Connector: Trusted domain discovered, <log details>"
AD Connector,25032,INFO,Trusted domain discovered,Trusted domain discovered,"<timestamp> <seq_num> 25032 INFO AD-Connector: Trusted domain discovered, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25032
                                 INFO AD-Connector: Trusted domain discovered, <log details>"
AD Connector,25033,INFO,DNS A/AAAA query succeeded,DNS A/AAAA query succeeded,"<timestamp> <seq_num> 25033 INFO AD-Connector: DNS A/AAAA query succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25033
                                 INFO AD-Connector: DNS A/AAAA query succeeded, <log details>"
AD Connector,25033,INFO,DNS A/AAAA query succeeded,DNS A/AAAA query succeeded,"<timestamp> <seq_num> 25033 INFO AD-Connector: DNS A/AAAA query succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25033
                                 INFO AD-Connector: DNS A/AAAA query succeeded, <log details>"
AD Connector,25034,ERROR,DNS A/AAAA query failed,DNS A/AAAA query failed,"<timestamp> <seq_num> 25034 ERROR AD-Connector: DNS A/AAAA query failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 25034
                                 ERROR AD-Connector: DNS A/AAAA query failed, <log details>"
